region,province,city,district,psgc,xcode
Region I,Ilocos Norte,Carasi,Virbira,012807004,01IN07004
Region I,Ilocos Norte,Currimao,Anggapang Norte,012808001,01IN08001
Region I,Ilocos Norte,Currimao,Anggapang Sur,012808002,01IN08002
Region I,Ilocos Norte,Currimao,Bimmanga,012808003,01IN08003
Region I,Ilocos Norte,Currimao,Cabuusan,012808004,01IN08004
Region I,Ilocos Norte,Currimao,Comcomloong,012808005,01IN08005
Region I,Ilocos Norte,Currimao,Gaang,012808006,01IN08006
Region I,Ilocos Norte,Currimao,Lang-Ayan-Baramban,012808007,01IN08007
Region I,Ilocos Norte,Currimao,Lioes,012808008,01IN08008
Region I,Ilocos Norte,Currimao,Maglaoi Centro,012808009,01IN08009
Region I,Ilocos Norte,Currimao,Maglaoi Norte,012808010,01IN08010
Region I,Ilocos Norte,Currimao,Maglaoi Sur,012808011,01IN08011
Region I,Ilocos Norte,Currimao,Paguludan-Salindeg,012808013,01IN08013
Region I,Ilocos Norte,Currimao,Pangil,012808014,01IN08014
Region I,Ilocos Norte,Currimao,Pias Norte,012808015,01IN08015
Region I,Ilocos Norte,Currimao,Pias Sur,012808016,01IN08016
Region I,Ilocos Norte,Currimao,Poblacion I,012808017,01IN08017
Region I,Ilocos Norte,Currimao,Poblacion Ii,012808018,01IN08018
Region I,Ilocos Norte,Currimao,Salugan,012808019,01IN08019
Region I,Ilocos Norte,Currimao,San Simeon,012808020,01IN08020
Region I,Ilocos Norte,Currimao,Santa Cruz,012808021,01IN08021
Region I,Ilocos Norte,Currimao,Tapao-Tigue,012808022,01IN08022
Region I,Ilocos Norte,Currimao,Torre,012808023,01IN08023
Region I,Ilocos Norte,Currimao,Victoria,012808024,01IN08024
Region I,Ilocos Norte,Dingras,Albano,012809001,01IN09001
Region I,Ilocos Norte,Dingras,Bacsil,012809002,01IN09002
Region I,Ilocos Norte,Dingras,Bagut,012809003,01IN09003
Region I,Ilocos Norte,Dingras,Parado,012809004,01IN09004
Region I,Ilocos Norte,Dingras,Baresbes,012809005,01IN09005
Region I,Ilocos Norte,Dingras,Barong,012809006,01IN09006
Region I,Ilocos Norte,Dingras,Bungcag,012809007,01IN09007
