name,type,xcode
Gayamat,district,01IN18012
Lagandit,district,01IN18013
Libnaoan,district,01IN18014
Loing,district,01IN18015
Maab-Abaca,district,01IN18016
Mangitayag,district,01IN18017
Maruaya,district,01IN18018
San Antonio,district,01IN18019
Santa Maria,district,01IN18020
Sucsuquen,district,01IN18021
Tangaoan,district,01IN18022
Tonoton,district,01IN18023
Pinili,city,01IN19000
Aglipay,district,01IN19001
Apatut-Lubong,district,01IN19002
Badio,district,01IN19003
Barbar,district,01IN19004
Buanga,district,01IN19005
Bulbulala,district,01IN19006
Bungro,district,01IN19007
Cabaroan,district,01IN19008
Capangdanan,district,01IN19009
Dalayap,district,01IN19010
Darat,district,01IN19011
Gulpeng,district,01IN19012
Liliputen,district,01IN19013
Lumbaan-Bicbica,district,01IN19014
Nagtrigoan,district,01IN19015
Pagdilao,district,01IN19016
Pugaoan,district,01IN19017
Puritac,district,01IN19018
Sacritan,district,01IN19019
Salanap,district,01IN19020
Santo Tomas,district,01IN19021
Tartarabang,district,01IN19022
Puzol,district,01IN19023
Upon,district,01IN19024
Valbuena,district,01IN19025
San Nicolas,city,01IN20000
San Francisco,district,01IN20001
San Ildefonso,district,01IN20002
San Agustin,district,01IN20003
San Baltazar,district,01IN20004
San Bartolome,district,01IN20005
San Cayetano,district,01IN20006
San Eugenio,district,01IN20007
San Fernando,district,01IN20008
San Gregorio,district,01IN20009
San Guillermo,district,01IN20010
San Jose,district,01IN20011
San Juan Bautista,district,01IN20012
San Lorenzo,district,01IN20013
San Lucas,district,01IN20014
San Marcos,district,01IN20015
San Miguel,district,01IN20016
San Pablo,district,01IN20017
San Paulo,district,01IN20018
San Pedro,district,01IN20019
San Rufino,district,01IN20020
San Silvestre,district,01IN20021
Santa Asuncion,district,01IN20022
Santa Cecilia,district,01IN20023
Santa Monica,district,01IN20024
Sarrat,city,01IN21000
San Agustin,district,01IN21001
San Andres,district,01IN21002
San Antonio,district,01IN21003
San Bernabe,district,01IN21004
San Cristobal,district,01IN21005
San Felipe,district,01IN21006
San Francisco,district,01IN21007
San Isidro,district,01IN21008
San Joaquin,district,01IN21009
San Jose,district,01IN21010
San Juan,district,01IN21011
San Leandro,district,01IN21012
San Lorenzo,district,01IN21014
San Manuel,district,01IN21015
San Marcos,district,01IN21016
San Nicolas,district,01IN21017
San Pedro,district,01IN21018
